name                                                                            , rating, reviews, Type_Location                                                                     , Top_rated_for
TCS                                                                             ,    3.3, (1.1L) , IT Services & Consulting | Bengaluru +444 other locations                         , Job Security
Dr. Reddy's                                                                     ,    4.0, (8.3k) , Pharma | Hyderabad +215 other locations                                           , "Company Culture, Work Life Balance, Skill Development"
Optum Global Solutions                                                          ,    4.0, (8k)   , IT Services & Consulting | Hyderabad +69 other locations                          , "Job Security, Work Life Balance, Company Culture"
JSW Steel                                                                       ,    3.9, (7.9k) , Iron & Steel | Ballari +199 other locations                                       , "Job Security, Skill Development"
JPMorgan Chase & Co.                                                            ,    3.8, (7.9k) , Financial Services | Bengaluru +56 other locations                                , Job Security
Delhivery                                                                       ,    3.8, (7.8k) , Logistics | Gurugram +763 other locations                                         , Promotions
ICICI Prudential Life Insurance                                                 ,    3.9, (7.8k) , Insurance | Mumbai +511 other locations                                           , "Job Security, Salary, Skill Development"
Hexaware Technologies                                                           ,    3.4, (7.7k) , IT Services & Consulting | Chennai +70 other locations                            , "Promotions, Salary, Work Satisfaction"
Ujjivan Small Finance Bank                                                      ,    4.0, (7.7k) , Banking | Bengaluru +544 other locations                                          , "Company Culture, Work Life Balance, Skill Development"
Jana Small Finance Bank                                                         ,    3.7, (7.7k) , Banking | Bengaluru +424 other locations                                          , Salary
Sun Pharmaceutical Industries                                                   ,    4.1, (7.7k) , Pharma | Vadodara +264 other locations                                            , "Salary, Job Security, Skill Development"
HGS                                                                             ,    3.7, (7.6k) , Emerging Technologies | Bengaluru +122 other locations                            , "Promotions, Salary"
Zydus Lifesciences                                                              ,    4.0, (7.5k) , Pharma | Ahmedabad +181 other locations                                           , "Salary, Work Life Balance, Skill Development"
Amazon Development Centre India                                                 ,    3.8, (7.5k) , Internet | Hyderabad +147 other locations                                         , "Company Culture, Work Life Balance"
Ekart Logistics                                                                 ,    3.9, (7.5k) , Logistics | Bengaluru +740 other locations                                        , Skill Development
Lupin                                                                           ,    4.1, (7.4k) , Pharma | Pune +204 other locations                                                , "Company Culture, Skill Development, Work Life Balance"
KPMG India                                                                      ,    3.4, (7.4k) , Management Consulting | Bengaluru +112 other locations                            , "Promotions, Work Life Balance, Work Satisfaction"
L&T Construction                                                                ,    4.0, (7.3k) , Engineering & Construction | Chennai +435 other locations                         , "Job Security, Skill Development, Salary"
Axis Max Life Insurance                                                         ,    4.0, (7.3k) , Insurance | New Delhi +509 other locations                                        , "Skill Development, Company Culture, Work Life Balance"
ITC                                                                             ,    3.9, (7.2k) , FMCG | Bengaluru +378 other locations                                             , "Job Security, Skill Development"
Hindustan Unilever                                                              ,    4.2, (7.2k) , FMCG | Mumbai +545 other locations                                                , "Skill Development, Company Culture, Work Life Balance"
Megha Engineering & Infrastructures                                             ,    3.9, (7k)   , Engineering & Construction | Hyderabad +408 other locations                       , Work Life Balance
Coforge                                                                         ,    3.3, (7k)   , IT Services & Consulting | Noida +103 other locations                             , "Promotions, Work Satisfaction, Skill Development"
Tata Projects                                                                   ,    4.2, (6.9k) , Engineering & Construction | Mumbai +287 other locations                          , "Salary, Company Culture, Work Life Balance"
Bajaj Life Insurance                                                            ,    3.8, (6.7k) , Insurance | Pune +618 other locations                                             , Salary
Cholamandalam Investment & Finance                                              ,    3.9, (6.7k) , Financial Services | Chennai +869 other locations                                 , Salary
L&T Technology Services                                                         ,    3.0, (6.6k) , IT Services & Consulting | Bengaluru +95 other locations                          , "Promotions, Salary, Work Satisfaction"
FIS                                                                             ,    3.8, (6.6k) , FinTech | Pune +59 other locations                                                , Work Life Balance
Oracle                                                                          ,    3.3, (6.6k) , Software Product | Bengaluru +56 other locations                                  , Work Life Balance
Omega Healthcare                                                                ,    3.8, (6.5k) , BPO | Chennai +70 other locations                                                 , "Promotions, Salary"
JLL                                                                             ,    4.1, (6.4k) , Real Estate | Gurugram +87 other locations                                        , "Job Security, Company Culture, Work Life Balance"
Muthoot Finance                                                                 ,    3.7, (6.4k) , NBFC | Bengaluru +793 other locations                                             , Promotions
IIFL Finance                                                                    ,    4.0, (6.4k) , NBFC | Mumbai +813 other locations                                                , "Work Life Balance, Company Culture, Skill Development"
eClerx                                                                          ,    3.1, (6.4k) , IT Services & Consulting | Pune +32 other locations                               , "Promotions, Salary, Work Satisfaction"
Indian Army                                                                     ,    4.7, (6.3k) , Defence & Aerospace | New Delhi +360 other locations                              , "Job Security, Company Culture, Work Life Balance"
Piramal Finance                                                                 ,    4.2, (6.2k) , NBFC | Mumbai +433 other locations                                                , "Company Culture, Work Life Balance, Skill Development"
DMart                                                                           ,    3.9, (6.2k) , Retail | Mumbai +255 other locations                                              , "Job Security, Company Culture"
PolicyBazaar                                                                    ,    3.8, (6.2k) , Internet | Gurugram +156 other locations                                          , Salary
Virtusa Consulting Services                                                     ,    3.7, (6.1k) , IT Services & Consulting | Hyderabad +55 other locations                          , "Promotions, Work Satisfaction, Job Security"
HCL Group                                                                       ,    3.5, (6.1k) , IT Services & Consulting | Chennai +97 other locations                            , Job Security
HSBC Group                                                                      ,    3.8, (6.1k) , Financial Services | Bengaluru +63 other locations                                , "Work Life Balance, Job Security, Company Culture"
Indiamart Intermesh                                                             ,    3.5, (6k)   , Internet | Noida +169 other locations                                             , "Work Satisfaction, Promotions, Company Culture"
SMFG India Credit                                                               ,    3.9, (6k)   , NBFC | Mumbai +607 other locations                                                , Salary
Access Healthcare                                                               ,    3.7, (6k)   , BPO | Chennai +62 other locations                                                 , Job Security
BigBasket                                                                       ,    3.9, (5.9k) , Internet | Bengaluru +144 other locations                                         , Job Security
Siemens                                                                         ,    3.9, (5.8k) , Industrial Automation | Bengaluru +156 other locations                            , "Work Life Balance, Job Security, Company Culture"
ICICI Lombard General Insurance Company                                         ,    3.5, (5.8k) , Insurance | Mumbai +321 other locations                                           , "Promotions, Work Satisfaction, Company Culture"
GlobalLogic                                                                     ,    3.5, (5.8k) , IT Services & Consulting | Hyderabad +62 other locations                          , "Promotions, Salary, Work Satisfaction"
Firstsource Solutions                                                           ,    3.5, (5.8k) , BPO | Bengaluru +73 other locations                                               , "Promotions, Salary, Work Satisfaction"
Manappuram Finance                                                              ,    3.9, (5.8k) , NBFC | Bengaluru +660 other locations                                             , "Work Life Balance, Promotions, Skill Development"
Aurobindo Pharma                                                                ,    4.0, (5.8k) , Pharma | Hyderabad +115 other locations                                           , "Job Security, Salary, Work Life Balance"
Tata Capital                                                                    ,    3.9, (5.7k) , NBFC | Mumbai +453 other locations                                                , "Job Security, Company Culture, Work Life Balance"
Shapoorji Pallonji Group                                                        ,    4.1, (5.7k) , Engineering & Construction | Mumbai +190 other locations                          , "Job Security, Company Culture, Work Life Balance"
Standard Chartered                                                              ,    3.6, (5.7k) , Banking | Chennai +69 other locations                                             , "Promotions, Work Satisfaction, Salary"
UST                                                                             ,    3.7, (5.7k) , IT Services & Consulting | Bengaluru +52 other locations                          , Work Life Balance
Udaan                                                                           ,    3.9, (5.7k) , Internet | Bengaluru +366 other locations                                         , "Salary, Skill Development"
Apollo Hospitals                                                                ,    4.0, (5.7k) , Healthcare | Chennai +226 other locations                                         , "Job Security, Skill Development, Company Culture"
Mahindra Finance                                                                ,    3.9, (5.7k) , NBFC | Mumbai +739 other locations                                                , Work Life Balance
Bosch Global Software Technologies                                              ,    3.7, (5.7k) , IT Services & Consulting | Bengaluru +47 other locations                          , "Work Life Balance, Company Culture, Job Security"
Swiggy                                                                          ,    3.7, (5.6k) , Internet | Bengaluru +238 other locations                                         , "Job Security, Promotions, Work Life Balance"
Citicorp                                                                        ,    3.6, (5.6k) , Financial Services | Pune +68 other locations                                     , Salary
Ashok Leyland                                                                   ,    4.0, (5.6k) , Automobile | Chennai +265 other locations                                         , "Work Life Balance, Skill Development, Company Culture"
Hero MotoCorp                                                                   ,    4.1, (5.4k) , Automobile | Gurugram +371 other locations                                        , "Work Life Balance, Company Culture, Work Satisfaction"
CGI Inc                                                                         ,    4.0, (5.4k) , IT Services & Consulting | Bengaluru +43 other locations                          , "Work Life Balance, Job Security, Company Culture"
Cyient                                                                          ,    3.6, (5.3k) , IT Services & Consulting | Hyderabad +49 other locations                          , "Promotions, Salary, Skill Development"
SBI Cards & Payment Services                                                    ,    3.6, (5.3k) , Financial Services | Gurugram +448 other locations                                , "Promotions, Work Satisfaction, Company Culture"
BNY                                                                             ,    3.6, (5.3k) , Financial Services | Pune +27 other locations                                     , "Promotions, Job Security, Work Satisfaction"
Kalpataru Projects International                                                ,    4.2, (5.3k) , Engineering & Construction | Mumbai +328 other locations                          , "Job Security, Skill Development, Salary"
NTT DATA                                                                        ,    3.8, (5.3k) , IT Services & Consulting | Bengaluru +81 other locations                          , "Work Life Balance, Job Security"
IQVIA                                                                           ,    3.7, (5.3k) , Clinical Research | Bengaluru +67 other locations                                 , Work Life Balance
Nagarjuna Construction Company                                                  ,    4.0, (5.3k) , Engineering & Construction | Hyderabad +299 other locations                       , "Job Security, Company Culture, Work Life Balance"
Schneider Electric                                                              ,    4.1, (5.2k) , Industrial Automation | Bengaluru +121 other locations                            , "Company Culture, Work Life Balance, Job Security"
JustDial                                                                        ,    3.5, (5.2k) , Internet | Noida +236 other locations                                             , "Promotions, Work Satisfaction, Job Security"
SBI Life Insurance Company                                                      ,    3.7, (5.2k) , Insurance | Mumbai +658 other locations                                           , Job Security
CBRE                                                                            ,    4.1, (5.2k) , Real Estate | Hyderabad +92 other locations                                       , "Company Culture, Work Life Balance, Job Security"
TVS Motor                                                                       ,    3.8, (5.1k) , Automobile | Hosur +354 other locations                                           , "Job Security, Skill Development, Salary"
Persistent Systems                                                              ,    3.6, (5.1k) , IT Services & Consulting | Pune +42 other locations                               , "Promotions, Job Security, Work Satisfaction"
State Bank of India                                                             ,    3.8, (5k)   , Banking | Mumbai +628 other locations                                             , "Job Security, Skill Development, Salary"
Atos                                                                            ,    3.8, (5k)   , IT Services & Consulting | Pune +49 other locations                               , Work Life Balance
KEC International                                                               ,    4.0, (5k)   , Engineering & Construction | Mumbai +318 other locations                          , "Job Security, Salary, Company Culture"
ITC Infotech                                                                    ,    3.8, (4.9k) , IT Services & Consulting | Bengaluru +69 other locations                          , "Work Life Balance, Job Security"
vivo                                                                            ,    4.1, (4.9k) , Consumer Electronics & Appliances | Noida +414 other locations                    , "Company Culture, Skill Development, Work Life Balance"
Amdocs                                                                          ,    3.6, (4.9k) , Software Product | Pune +24 other locations                                       , Company Culture
JBM Group                                                                       ,    3.9, (4.9k) , Auto Components | Gurugram +119 other locations                                   , "Job Security, Skill Development"
Varun Beverages                                                                 ,    4.0, (4.8k) , Beverage | New Delhi +384 other locations                                         , "Job Security, Work Life Balance, Skill Development"
Ecom Express                                                                    ,    4.1, (4.8k) , Logistics | Gurugram +779 other locations                                         , "Work Life Balance, Company Culture, Work Satisfaction"
Eviden                                                                          ,    3.6, (4.8k) , IT Services & Consulting | Pune +39 other locations                               , Work Life Balance
Utkarsh Small Finance Bank                                                      ,    3.6, (4.8k) , Banking | Varanasi +420 other locations                                           , "Promotions, Company Culture, Work Satisfaction"
Nagarro                                                                         ,    3.9, (4.8k) , IT Services & Consulting | Gurugram +48 other locations                           , "Company Culture, Work Life Balance"
Randstad                                                                        ,    3.7, (4.7k) , Recruitment | Hyderabad +369 other locations                                      , "Promotions, Job Security, Work Satisfaction"
EY Global Delivery Services ( EY GDS)                                           ,    3.5, (4.7k) , IT Services & Consulting | Bengaluru +56 other locations                          , Job Security
Bosch                                                                           ,    4.1, (4.7k) , Auto Components | Bengaluru +133 other locations                                  , "Work Life Balance, Company Culture, Skill Development"
Havells                                                                         ,    3.9, (4.6k) , Electrical Equipment | Noida +264 other locations                                 , "Work Life Balance, Salary"
Hewlett Packard Enterprise                                                      ,    4.0, (4.6k) , IT Services & Consulting | Bengaluru +104 other locations                         , "Company Culture, Work Life Balance, Work Satisfaction"
L&T Finance                                                                     ,    3.9, (4.6k) , NBFC | Mumbai +654 other locations                                                , Salary
Aditya Birla Fashion and Retail                                                 ,    4.0, (4.6k) , Fashion & Textile | Bengaluru +293 other locations                                , "Job Security, Skill Development, Company Culture"
Cars24                                                                          ,    3.4, (4.6k) , Internet | Gurugram +172 other locations                                          , "Job Security, Promotions, Company Culture"
Intas Pharmaceuticals                                                           ,    4.1, (4.6k) , Pharma | Ahmedabad +150 other locations                                           , "Job Security, Salary, Work Life Balance"
R1 RCM                                                                          ,    3.8, (4.6k) , BPO | Hyderabad +49 other locations                                               , Promotions
Mahindra Logistics                                                              ,    3.7, (4.6k) , Logistics | Mumbai +233 other locations                                           , "Promotions, Salary"
Tata AIA Life Insurance                                                         ,    3.9, (4.6k) , Insurance | Mumbai +454 other locations                                           , "Job Security, Skill Development, Salary"
Hetero                                                                          ,    3.9, (4.6k) , Pharma | Hyderabad +71 other locations                                            , "Job Security, Work Life Balance"
Home Credit Finance                                                             ,    4.0, (4.6k) , NBFC | Gurugram +139 other locations                                              , "Work Life Balance, Company Culture, Skill Development"
Dell                                                                            ,    3.8, (4.6k) , Consumer Electronics & Appliances | Bengaluru +116 other locations                , "Work Life Balance, Company Culture"
Deutsche Bank                                                                   ,    3.8, (4.5k) , Banking | Pune +42 other locations                                                , "Work Life Balance, Job Security, Company Culture"
Berger Paints                                                                   ,    3.7, (4.5k) , Chemicals | Kolkata +367 other locations                                          , "Promotions, Work Life Balance, Company Culture"
Lenskart                                                                        ,    3.3, (4.5k) , Internet | New Delhi +252 other locations                                         , "Promotions, Company Culture, Work Life Balance"
OPPO                                                                            ,    3.9, (4.5k) , Consumer Electronics & Appliances | Greater Noida +407 other locations            , Skill Development
Hyundai Motor India Limited                                                     ,    4.1, (4.4k) , Automobile | Chennai +292 other locations                                         , "Job Security, Skill Development, Salary"
Motilal Oswal Financial Services                                                ,    3.7, (4.4k) , Financial Services | Mumbai +169 other locations                                  , Skill Development
TeamLease Services                                                              ,    3.9, (4.4k) , Recruitment | Bengaluru +405 other locations                                      , Work Life Balance
VE Commercial Vehicles                                                          ,    3.9, (4.4k) , Automobile | Indore +180 other locations                                          , "Job Security, Company Culture, Skill Development"
Thermax Limited                                                                 ,    4.2, (4.3k) , Industrial Machinery | Pune +259 other locations                                  , "Job Security, Company Culture, Work Life Balance"
Macleods Pharmaceuticals                                                        ,    3.7, (4.2k) , Pharma | Mumbai +136 other locations                                              , Job Security
Jubilant Foods Works                                                            ,    3.7, (4.2k) , Hospitality | Noida +267 other locations                                          , "Promotions, Work Satisfaction"
Carelon Global Solutions                                                        ,    3.9, (4.2k) , IT Services & Consulting | Bengaluru +20 other locations                          , "Company Culture, Work Life Balance, Job Security"
Aakash Educational Services                                                     ,    3.2, (4.2k) , Education & Training | New Delhi +250 other locations                             , "Promotions, Work Life Balance, Job Security"
Bajaj Auto                                                                      ,    3.8, (4.2k) , Automobile | Pune +324 other locations                                            , Promotions
Jindal Steel Limited                                                            ,    3.9, (4.2k) , Iron & Steel | Angul +174 other locations                                         , Skill Development
State Street Corporation                                                        ,    3.5, (4.2k) , Financial Services | Bengaluru +36 other locations                                , "Promotions, Work Satisfaction, Job Security"
Hindalco Industries                                                             ,    4.2, (4.2k) , Metals & Mining | Sambalpur +131 other locations                                  , "Job Security, Work Life Balance, Skill Development"
LG Electronics                                                                  ,    3.8, (4.2k) , Consumer Electronics & Appliances | Pune +301 other locations                     , Job Security
Kogta Financial India Limited                                                   ,    4.7, (4.1k) , NBFC | Jaipur +260 other locations                                                , "Company Culture, Work Life Balance, Work Satisfaction"
HDFC ERGO General Insurance                                                     ,    4.0, (4.1k) , Insurance | Mumbai +327 other locations                                           , "Company Culture, Work Life Balance, Job Security"
Royal Enfield                                                                   ,    4.2, (4.1k) , Automobile | Chennai +374 other locations                                         , "Work Life Balance, Skill Development, Company Culture"
DCB Bank                                                                        ,    3.8, (4.1k) , Banking | Mumbai +346 other locations                                             , Work Life Balance
John Deere                                                                      ,    4.0, (4.1k) , Industrial Machinery | Pune +154 other locations                                  , "Company Culture, Work Life Balance, Skill Development"
RBL Bank                                                                        ,    3.5, (4.1k) , Banking | Mumbai +293 other locations                                             , "Promotions, Company Culture, Work Satisfaction"
Tata Communications                                                             ,    3.8, (4k)   , Telecom | Pune +102 other locations                                               , "Work Life Balance, Job Security"
Publicis Sapient                                                                ,    3.2, (4k)   , IT Services & Consulting | Bengaluru +47 other locations                          , "Promotions, Job Security, Work Satisfaction"
Cummins                                                                         ,    4.3, (4k)   , Industrial Machinery | Pune +115 other locations                                  , "Company Culture, Work Life Balance, Work Satisfaction"
Alembic Pharmaceuticals                                                         ,    3.9, (4k)   , Pharma | Vadodara +188 other locations                                            , "Salary, Work Life Balance"
Bank of America                                                                 ,    4.1, (4k)   , Banking | Gurugram +34 other locations                                            , "Job Security, Work Life Balance, Company Culture"
Pidilite Industries                                                             ,    4.2, (3.9k) , Chemicals | Mumbai +321 other locations                                           , "Job Security, Work Life Balance, Company Culture"
Grasim Industries                                                               ,    4.0, (3.9k) , Building Material | Bharuch +262 other locations                                  , "Job Security, Skill Development, Company Culture"
Oyo Rooms                                                                       ,    3.0, (3.9k) , Hospitality | Gurugram +121 other locations                                       , "Job Security, Work Satisfaction, Promotions"
Aditya Birla Sun Life Insurance                                                 ,    4.0, (3.9k) , Insurance | Mumbai +507 other locations                                           , "Work Life Balance, Company Culture, Job Security"
Cloudnine Hospital                                                              ,    4.5, (3.9k) , Healthcare | Bengaluru +46 other locations                                        , "Company Culture, Skill Development, Work Life Balance"
American Express                                                                ,    4.1, (3.9k) , Financial Services | Gurugram +54 other locations                                 , "Company Culture, Work Life Balance, Job Security"
Kyndryl                                                                         ,    4.0, (3.9k) , IT Services & Consulting | Bengaluru +39 other locations                          , "Work Life Balance, Company Culture, Skill Development"
PNB MetLife                                                                     ,    3.3, (3.9k) , Insurance | New Delhi +433 other locations                                        , "Company Culture, Work Satisfaction, Job Security"
Subros                                                                          ,    3.8, (3.9k) , Auto Components | Noida +88 other locations                                       , "Job Security, Skill Development"
ADP Private Limited                                                             ,    3.9, (3.9k) , Software Product | Hyderabad +41 other locations                                  , "Job Security, Work Life Balance, Company Culture"
